Xは | Yという -> ものを | 見た
Xで | Y -> 獰悪な | 種族であった
Xは | Yで -> 種族であった | そうだ
Xは | Yな -> 種族であった | そうだ
Xは | Yを -> 捕えて -> 煮て -> 食うという | 話である
Xは | Yという -> 考も | なかったから
Xで -> 落ちついて | Yの -> 顔を | 見たのが
Xには | Yも -> 出会わし | ない
Xが | Yの -> 飲む -> 煙草という | ものである
Xで -> 坐って -> おったが | Yな -> 速力で | 運転し始めた
Xに -> 坐って -> おったが | Yな -> 速力で | 運転し始めた
Xしているが | Yの -> 事やら | 分らない
Xは | Yの -> 事やら | 分らない
Xは | Yの -> 上から | 棄てられたのである
Xは | Yの -> 中へ | 棄てられたのである
Xから | Yの -> 中へ | 棄てられたのである
Xに | Yの -> 中へ | 棄てられたのである
Xは | Yに -> 坐って -> したら -> よかろうと -> 考えて | 見た
Xまで -> ある | Yを -> して | 廻り始めた
X -> よいから | Yの -> ある | 所まで
Xでも -> よいから | Yの -> ある | 所まで
Xして -> 這って行くと | Yの -> 事で | 出た
Xに -> 這って行くと | Yの -> 事で | 出た
Xへ -> 這入ったら -> なると -> 思って | Yの -> 崩れた -> 穴から | もぐり込んだ
Xで | Yが -> 破れていなかったなら | 餓死したかも知れんのである
Xは | Yの -> 通路に | なっている
Xが | Yの -> 三毛を | 訪問する
Xへは -> 忍び込んだものの | Y -> 善いか | 分らない
Xで | Yの -> 猶予が | 出来なくなった
Xは | Yに -> 這入って | おったのだ
Xで | Yを -> 見るべき -> 機会に | 遭遇したのである
Xは | Yを -> 見るべき -> 機会に | 遭遇したのである
Xは | Yより -> 見るや | 抛り出した
Xは | Yで -> 見るや | 抛り出した
Xは | Yを -> 見るや | 抛り出した
Xは | Yいきなり -> つかんで | 抛り出した
Xは | Yを -> つかんで | 抛り出した
Xより | Yな -> 方で | 見るや
Xだと -> 思ったから | Yを -> ねぶって | 任せていた
Xは | Yを -> 見て | 這い上った
Xは -> 這い上り -> 投げ出され | Yでも -> 繰り返したのを | 記憶している
Xは -> 這い上り -> 投げ出され | Yを -> 繰り返したのを | 記憶している
Xは -> 這い上り -> 投げ出され | Y -> 繰り返したのを | 記憶している
Xんで -> してやってから | Yの -> 痞が | 下りた
Xを -> してやってから | Yの -> 痞が | 下りた
X | Yの -> 三馬を | 偸んで
Xに | Yの -> 主人が | 来た
Xに | Yだと -> いいながら | 来た
Xが | Yだと -> いいながら | 来た
Xは | Yを -> ぶら下げて | 困りますと
Xは | Yへ -> 向けて | 困りますと
Xは | Yの -> 小猫が | 困りますと
Xは | Yも -> 上って来て | 困りますと
Xは | Yへ -> 上って来て | 困りますと
Xが | Yも -> 上って来て | 困りますと
Xが | Yへ -> 上って来て | 困りますと
Xを -> 撚りながら | Yの -> 顔を | 眺めて
Xは -> おったが | Yなら -> 置いてやれといったまま | 這入ってしまった
Xは -> おったが | Yへ -> 置いてやれといったまま | 這入ってしまった
Xは | Yを -> 眺めて | おったが
Xは | Yを -> 聞かぬ -> 人と | 見えた
Xを | Yの -> 住家と | 極める
Xは | Yを -> 極める -> 事に | したのである
Xは | Yと -> 極める -> 事に | したのである
Xは | Yに -> 合せる -> 事が | ない
Xは | Yと -> 合せる -> 事が | ない
Xは | Yを -> 合せる -> 事が | ない
Xから -> 帰ると | Y -> 這入った | ぎりほとんど出て来る
Xから -> 帰ると | Yに -> 這入った | ぎりほとんど出て来る
Xは | Yに -> 覗いて | 見るが
Xは | Yを -> 覗いて | 見るが
Xは | Yを -> している -> 事が | ある
Xに | Yの -> 書斎を | 覗いて
Xで | Yの -> 色が | 帯びて
Xは | Yで -> 帯びて | あらわしている
Xは | Yが -> 帯びて | あらわしている
Xは | Yを -> 帯びて | あらわしている
Xは | Yな -> 徴候を | あらわしている
Xを | Yの -> 上へ | 垂らす
Xが | Yの -> 毎夜 | 繰り返す
Xは | Yながら -> 考える -> 事が | ある
Xなら | Yにでも -> 出来ぬ -> 事は | ないと
Xで | Yか -> 不平を | 鳴らしている
Xは | Yか -> 不平を | 鳴らしている
Xに | Yか -> 不平を | 鳴らしている
Xに -> 云わせると | Yほど -> つらい -> ものは | ないそうで
Xは | Yの -> ものには | 不人望であった
Xされなかったかは | Yさえ -> つけてくれないのでも | 分る
Xは | Yに -> いる -> 事を | つとめた
Xは | Yの -> 上に | 乗る
Xは | Yではないが -> なかったから | やむを得んのである
Xは | Yに -> なかったから | やむを得んのである
Xは | Yが -> なかったから | やむを得んのである
X | Yの -> 上 | した
X | Yの -> 上 | した
X | Yの -> 上 | した
X | Yの -> 上 | した
X | Yの -> 上 | した
Xは | Yの -> 上 | した
Xは | Yの -> 上 | した
X | Yの -> 上 | した
Xは | Yの -> 上 | した
Xは | Yに -> ねる | 事である
Xに -> 入って | Yへ -> もぐり込んで | ねる
Xは | Yで -> なると | 寝る
Xは | Yに -> なると | 寝る
Xは | Yへ -> 入って | 寝る
Xが | Yへ -> 入って | 寝る
X | Yへ -> 入って | 寝る
Xに | Yるべき -> 余地を | 見出して
Xれを | Yるべき -> 余地を | 見出して
Xでも | Yに -> 見出して | 割り込むのであるが
Xでも | Yれを -> 見出して | 割り込むのであるが
Xでも | Yを -> 見出して | 割り込むのであるが
Xであるが | Y悪く -> 醒ますが | なる
Xであるが | Yが -> 醒ますが | なる
Xであるが | Yを -> 醒ますが | なる
Xであるが | Yな -> 事に | なる
X悪く | Yの -> 一人が | 醒ますが
Xが -> わるい | Yが -> 来た -> 猫が | 来たと
Xが -> わるい | Yが -> 来た -> 猫が | 来たと
Xは | Yが -> 来たと -> いって | 泣き出すのである
Xは | Yを -> さまして | 飛び出してくる
Xは | Yの -> 部屋から | 飛び出してくる
Xは | Yな -> ものだと | 断言せざるを得ないようになった
Xは | Yな -> ものだと | 断言せざるを得ないようになった
Xは | Yへ -> かぶせたり -> 抛り出したり | 押し込んだりする
Xは | Yを -> かぶせたり -> 抛り出したり | 押し込んだりする
Xなら | Yで -> 追い廻して | 加える
Xも -> 磨いだら | Yが -> 怒って | 入れない
Xも -> 磨いだら | Yに -> 怒って | 入れない
Xで -> 磨いだら | Yが -> 怒って | 入れない
Xで -> 磨いだら | Yに -> 怒って | 入れない
Xを -> 磨いだら | Yが -> 怒って | 入れない
Xを -> 磨いだら | Yに -> 怒って | 入れない
Xに | Yな -> ものは | ないと
Xほど | Yな -> ものは | ないと
Xなどは | Yに -> ないと -> 言って | るる
Xなどは | Yほど -> ないと -> 言って | るる
Xなどは | Yは -> ないと -> 言って | るる
Xは | Yな -> 子猫を | 四疋産まれたのである
Xが | Yに -> 持って | 来たそうだ
Xが | Yを -> 持って | 来たそうだ
Xが | Yへ -> 持って | 来たそうだ
Xが | Yながら -> 棄てて | 来たそうだ
Xに | Yの -> 池へ | 持って
Xを | Yの -> 池へ | 持って
X | Yを -> するには | 剿滅せねばならぬと
X | Yと -> 戦って | 剿滅せねばならぬと
Xが | Yの -> 愛を | して
Xは | Y -> 剿滅せねばならぬと | いわれた
Xは | Yを -> 剿滅せねばならぬと | いわれた
Xなどは | Yという -> 事を | 解していないと
Xでは | Yが -> ある -> ものと | なっている
Xでも | Y -> 先に | 見付けた
Xが -> 守らなければ | Yに -> 訴えて -> 善い -> くらいの | ものだ
Xを -> 守らなければ | Yに -> 訴えて -> 善い -> くらいの | ものだ
Xは | Yの -> ために | 掠奪せらるるのである
Xは | Yを -> 奪って | すましている
Xは | Yに -> おり | 持っている
Xは | Yの -> 主人を | 持っている
Xは | Yの -> 主人を | 持っている
Xは | Yに -> 住んでいるだけ | 楽天である
Xは | Yに関すると -> 両君よりも | 楽天である
Xを | Yの -> 時節を | 待つが
Xで -> 思い出したから | Yの -> 主人が | 失敗した
Xは | Yに -> 勝れて -> 出来る -> 事も | ないが
Xには | Yに -> なって | おらん
Xも | Yに -> なって | おらん
Xも | Yに -> なって | おらん
Xを -> 出したり | Yの -> 英文を | かいたり
Xへ -> 出したり | Yの -> 英文を | かいたり
Xを -> かいたり | Yを -> 習ったりまた -> ある -> ときは | 鳴らしたりするが
X -> やり出すと | Yの -> 癖に | 熱心だ
Xで -> うたって | Yで -> つけられている -> にも関せず | もので
Xで -> うたって | Yを -> つけられている -> にも関せず | もので
Xを -> うたって | Yで -> つけられている -> にも関せず | もので
Xを -> うたって | Yを -> つけられている -> にも関せず | もので
Xで | Yの -> 宗盛にて | 繰返している
Xは | Yの -> 宗盛にて | 繰返している
Xで | Yと -> 渾名を | つけられている
Xか | Yの -> 月給日に | 帰って来た
Xか | Yを -> 提げて | 帰って来た
Xに | Yを -> 提げて | 帰って来た
Xで | Yや -> 俳句を | やめて
Xから | Yや -> 俳句を | やめて
